question_id,sum,count,qualifying_cue_incidence
0,4679,21600,0.21662037037037038
1,5104,21600,0.2362962962962963
2,5567,21600,0.2577314814814815
3,4092,21600,0.18944444444444444
4,9666,21600,0.4475
5,9995,21600,0.46273148148148147
6,6979,21600,0.32310185185185186
7,5448,21600,0.25222222222222224
8,4071,21600,0.18847222222222224
9,5654,21600,0.26175925925925925
10,6041,21600,0.27967592592592594
11,5365,21600,0.24837962962962962
12,4842,21600,0.22416666666666665
13,4153,21600,0.1922685185185185
14,6964,21600,0.3224074074074074
15,8105,21600,0.3752314814814815
16,3670,21600,0.1699074074074074
17,5942,21600,0.2750925925925926
18,5511,21600,0.2551388888888889
19,5913,21600,0.27375
20,4435,21600,0.20532407407407408
21,7176,21600,0.3322222222222222
22,5325,21600,0.2465277777777778
23,6657,21600,0.30819444444444444
24,6173,21600,0.28578703703703706
25,6799,21600,0.3147685185185185
26,4251,21600,0.19680555555555557
27,8040,21600,0.37222222222222223
28,7134,21600,0.3302777777777778
29,6889,21600,0.3189351851851852
30,4701,21600,0.21763888888888888
31,8226,21600,0.38083333333333336
32,4937,21600,0.2285648148148148
33,7667,21600,0.3549537037037037
34,6613,21600,0.30615740740740743
35,6936,21600,0.3211111111111111
36,7406,21600,0.3428703703703704
37,6144,21600,0.28444444444444444
38,8350,21600,0.38657407407407407
39,5207,21600,0.24106481481481482
40,9005,21600,0.41689814814814813
41,5073,21600,0.2348611111111111
42,6207,21600,0.2873611111111111
43,3850,21600,0.17824074074074073
44,6218,21600,0.2878703703703704
45,5514,21600,0.25527777777777777
46,7739,21600,0.358287037037037
47,3971,21600,0.18384259259259259
48,7890,21600,0.36527777777777776
49,4906,21600,0.22712962962962963
50,5085,21600,0.23541666666666666
51,6835,21600,0.3164351851851852
52,4525,21600,0.20949074074074073
53,6539,21600,0.3027314814814815
54,7045,21600,0.3261574074074074
55,5685,21600,0.26319444444444445
56,6847,21600,0.31699074074074074
57,5118,21600,0.23694444444444446
58,7403,21600,0.34273148148148147
59,6268,21600,0.2901851851851852
60,7510,21600,0.3476851851851852
61,6698,21600,0.3100925925925926
