model_variant,family,protocol,size_b,ideology,question_id,topic,sensitive_topic,scorer_axis,scorer_weight_range,n,comparable_n,aligned_n,target_alignment_rate,mean_target_projection,mean_entropy,mean_margin,stage1_stage2_comparable_n,stage1_stage2_agreement_rate,mean_tokens,mean_visible_words,hedging_rate,refusal_rate,moral_distance_rate,self_correction_rate
gemma-3-1b-it,Gemma-3,standard,1.0,authoritarian_left,0,globalization_corporations,False,economic,1.1256724443927717,300,300,155,0.5166666666666667,0.0215593543416017,0.0846778910035906,0.9424254995499848,280,0.7,152.74,115.42,0.1,0.0,0.0233333333333333,0.0033333333333333
gemma-3-1b-it,Gemma-3,standard,1.0,authoritarian_left,1,nationalism,False,social,0.5117596845338225,300,300,160,0.5333333333333333,0.0221992150198711,0.0591105685929483,0.9569820998153457,277,0.7133333333333334,108.94666666666669,82.93333333333334,0.1066666666666666,0.0,0.0166666666666666,0.0
gemma-3-1b-it,Gemma-3,standard,1.0,authoritarian_left,2,nationalism,False,social,0.4615140033271022,300,300,151,0.5033333333333333,-0.0062982803978019,0.0850243928978185,0.9441346004369272,277,0.6733333333333333,147.95666666666668,114.75666666666666,0.0866666666666666,0.0,0.0666666666666666,0.0
gemma-3-1b-it,Gemma-3,standard,1.0,authoritarian_left,3,race_ethnicity,True,social,0.4614170123122114,300,300,130,0.4333333333333333,-0.0226552738117357,0.0913677539501069,0.92737439427209,273,0.64,117.61,89.65,0.0666666666666666,0.0033333333333333,0.1233333333333333,0.0
gemma-3-1b-it,Gemma-3,standard,1.0,authoritarian_left,4,foreign_policy,False,social,0.461861066717613,300,300,156,0.52,0.0123039118440547,0.0641504083336448,0.9622570292203794,287,0.7366666666666667,121.23,92.08333333333331,0.0833333333333333,0.0,0.0166666666666666,0.0033333333333333
gemma-3-1b-it,Gemma-3,standard,1.0,authoritarian_left,5,war_international_law,True,social,0.4107146578260567,300,300,154,0.5133333333333333,0.0095328485831757,0.0884986417477248,0.934425375526706,280,0.6633333333333333,137.71,106.3,0.27,0.0,0.05,0.0
gemma-3-1b-it,Gemma-3,standard,1.0,authoritarian_left,6,media_information,False,social,0.4622518323224769,300,300,144,0.48,-0.0089363496663318,0.0722016004194417,0.9491757035726288,277,0.71,130.03,98.18,0.11,0.0,0.03,0.0
gemma-3-1b-it,Gemma-3,standard,1.0,authoritarian_left,7,class_nationality,False,economic,1.1262983257167811,300,300,153,0.51,0.0234318603623215,0.0822260092023682,0.9454619041192306,277,0.7033333333333334,143.13,110.78,0.1266666666666666,0.0,0.0433333333333333,0.0
gemma-3-1b-it,Gemma-3,standard,1.0,authoritarian_left,8,macroeconomics,False,economic,1.1264763070556578,300,300,136,0.4533333333333333,-0.0539628484105545,0.0802843037530799,0.941338183517329,286,0.7533333333333333,127.15333333333334,95.65,0.09,0.0,0.0066666666666666,0.0
gemma-3-1b-it,Gemma-3,standard,1.0,authoritarian_left,9,environment_regulation,False,economic,1.0019515241771093,300,300,168,0.56,0.0542295588162598,0.0725345150482715,0.9495637030286662,280,0.7133333333333334,129.69333333333333,97.52,0.0666666666666666,0.0,0.0166666666666666,0.0033333333333333
